epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,12950.5,3.37474,5.20319,5.67673,1.54451,0.53087,0.39153,0.40287,0.15367,0.5066,0.34087,0.34392,0.11658,3.66046,5.94148,6.27358,1.82442,0.00160442,0.00160442,0.00160442
61,13170.9,3.37526,5.20206,5.70279,1.54535,0.54383,0.41949,0.42949,0.16108,0.52528,0.37611,0.37981,0.12882,3.67486,5.88117,6.08719,1.80769,0.00159191,0.00159191,0.00159191
62,13388.1,3.37825,5.20342,5.68843,1.54242,0.54377,0.39536,0.41287,0.15879,0.52025,0.35181,0.35925,0.1259,3.5946,5.85571,6.2886,1.78339,0.00157926,0.00157926,0.00157926
63,13607.4,3.36525,5.16827,5.69131,1.5422,0.53537,0.39674,0.41134,0.15526,0.5046,0.34807,0.35176,0.11918,3.63696,5.87996,6.33172,1.79286,0.00156646,0.00156646,0.00156646
64,13827.6,3.35911,5.16986,5.68296,1.53739,0.54258,0.40165,0.41881,0.16243,0.52091,0.35829,0.36548,0.12823,3.58538,5.83873,6.18761,1.78111,0.00155353,0.00155353,0.00155353
65,14050.8,3.35202,5.16408,5.6776,1.54321,0.52182,0.38773,0.4016,0.15166,0.49959,0.33645,0.34415,0.1181,3.67621,5.97237,6.33629,1.81377,0.00154047,0.00154047,0.00154047
66,14271.4,3.3627,5.16726,5.66884,1.54615,0.54734,0.40191,0.41857,0.15502,0.5224,0.35577,0.3609,0.12101,3.70295,5.87438,6.21515,1.80125,0.00152727,0.00152727,0.00152727
67,14492,3.34436,5.15759,5.61117,1.52802,0.53724,0.37987,0.40549,0.15577,0.5107,0.33844,0.35165,0.12195,3.61091,5.85856,6.35483,1.78211,0.00151395,0.00151395,0.00151395
68,14709.3,3.35711,5.18145,5.6547,1.53506,0.54574,0.41891,0.43147,0.16661,0.52008,0.37477,0.38094,0.13428,3.57142,5.77054,6.1263,1.7868,0.0015005,0.0015005,0.0015005
69,14928.5,3.34122,5.14306,5.61461,1.53535,0.53658,0.40515,0.41841,0.15909,0.51232,0.3582,0.36444,0.12692,3.66351,5.89203,6.142,1.77675,0.00148694,0.00148694,0.00148694
70,15149.8,3.31921,5.13445,5.58535,1.52982,0.54094,0.39957,0.41809,0.15918,0.52573,0.35415,0.36914,0.12858,3.61701,5.84071,6.19302,1.77902,0.00147325,0.00147325,0.00147325
71,15372.9,3.31771,5.13243,5.53786,1.51778,0.53543,0.403,0.4172,0.15674,0.51448,0.36166,0.36783,0.1255,3.64287,5.87481,6.19925,1.76442,0.00145945,0.00145945,0.00145945
72,15583.3,3.31197,5.12835,5.57383,1.51849,0.54471,0.39348,0.41081,0.15523,0.51489,0.34124,0.34842,0.11859,3.6558,5.91175,6.31249,1.82718,0.00144554,0.00144554,0.00144554
73,15804.9,3.35086,5.16886,5.60551,1.53683,0.54282,0.41285,0.42705,0.16129,0.51721,0.36155,0.3685,0.12826,3.671,5.90083,6.10493,1.80622,0.00143152,0.00143152,0.00143152
74,16022.7,3.31673,5.12595,5.51124,1.5162,0.55184,0.41022,0.427,0.16133,0.52169,0.36212,0.36715,0.12622,3.65661,5.8757,6.13263,1.79405,0.0014174,0.0014174,0.0014174
75,16240,3.34229,5.16607,5.58807,1.5287,0.54249,0.43294,0.4436,0.17362,0.52559,0.39425,0.39876,0.14338,3.53249,5.72682,6.04286,1.73093,0.00140318,0.00140318,0.00140318
76,16463,3.30269,5.10164,5.50446,1.51466,0.53054,0.38419,0.39971,0.14746,0.50377,0.32831,0.33456,0.11317,3.78246,6.04833,6.24972,1.81624,0.00138886,0.00138886,0.00138886
77,16681,3.32574,5.11128,5.55161,1.51934,0.54237,0.41873,0.431,0.16522,0.52204,0.37313,0.38131,0.13484,3.57177,5.75173,6.14189,1.786,0.00137444,0.00137444,0.00137444
78,16901.5,3.29458,5.08682,5.48992,1.5122,0.55371,0.41757,0.43773,0.16803,0.53078,0.37326,0.38406,0.13255,3.60023,5.82316,6.01794,1.75782,0.00135994,0.00135994,0.00135994
79,17121.4,3.30509,5.10502,5.49817,1.51376,0.54087,0.40134,0.41815,0.15944,0.5223,0.35831,0.36902,0.12854,3.62212,5.86395,6.19671,1.75345,0.00134535,0.00134535,0.00134535
80,17343.9,3.29254,5.10269,5.45484,1.51182,0.53691,0.40005,0.41718,0.15779,0.51189,0.35361,0.36212,0.12238,3.63022,5.84528,6.14859,1.7845,0.00133068,0.00133068,0.00133068
81,17548.9,3.29113,5.08113,5.47956,1.51591,0.54634,0.42141,0.43754,0.16929,0.52764,0.38652,0.39283,0.13945,3.57032,5.71593,6.05459,1.74244,0.00131593,0.00131593,0.00131593
82,17747.1,3.27795,5.07962,5.45741,1.50033,0.54475,0.41228,0.42844,0.16712,0.51854,0.36783,0.37489,0.13295,3.57133,5.76515,6.07456,1.78524,0.0013011,0.0013011,0.0013011
83,17963.4,3.30209,5.08898,5.43196,1.506,0.54901,0.39547,0.41684,0.15468,0.52425,0.35382,0.36496,0.12415,3.71397,5.91808,6.15075,1.79703,0.0012862,0.0012862,0.0012862
84,18183.5,3.30835,5.10102,5.49067,1.51567,0.5426,0.40618,0.42292,0.16122,0.5212,0.36394,0.37183,0.12832,3.61306,5.8444,6.1248,1.77724,0.00127123,0.00127123,0.00127123
85,18405.3,3.30293,5.10489,5.50312,1.52072,0.55322,0.41725,0.436,0.16716,0.53107,0.37114,0.38099,0.13134,3.59496,5.79412,6.04282,1.77082,0.0012562,0.0012562,0.0012562
86,18621.7,3.28286,5.08961,5.46327,1.50352,0.54981,0.41316,0.43116,0.16508,0.52901,0.36932,0.37966,0.13175,3.60249,5.79983,6.05643,1.77257,0.00124111,0.00124111,0.00124111
87,18843.5,3.27042,5.06324,5.42027,1.49898,0.5448,0.40882,0.41902,0.15412,0.51462,0.35892,0.35854,0.12025,3.71024,5.95465,6.16671,1.82106,0.00122596,0.00122596,0.00122596
88,19062,3.26128,5.04271,5.40489,1.50172,0.5566,0.42677,0.44173,0.17261,0.53738,0.39042,0.39839,0.14252,3.56095,5.7123,5.99001,1.73573,0.00121076,0.00121076,0.00121076
89,19273.9,3.26122,5.07032,5.43641,1.50073,0.54828,0.42051,0.43268,0.16606,0.53077,0.37157,0.37895,0.13264,3.60372,5.81858,6.04054,1.77283,0.00119551,0.00119551,0.00119551
90,19493.6,3.25246,5.02776,5.35483,1.49609,0.52385,0.38429,0.40468,0.15309,0.50405,0.3394,0.35342,0.12186,3.66319,5.89682,6.23955,1.80047,0.00118021,0.00118021,0.00118021
91,19711.1,3.24271,5.0212,5.32993,1.49101,0.55551,0.42885,0.44373,0.17349,0.53604,0.3874,0.39545,0.14106,3.54311,5.72334,5.97158,1.73871,0.00116487,0.00116487,0.00116487
92,19930.9,3.24463,5.02536,5.34932,1.49475,0.54925,0.41792,0.42655,0.15804,0.52523,0.36556,0.36778,0.1239,3.6831,5.91432,6.09183,1.80593,0.00114949,0.00114949,0.00114949
93,20149,3.25857,5.05816,5.38333,1.49389,0.56503,0.44165,0.45549,0.17573,0.55068,0.40272,0.41139,0.14522,3.54864,5.71532,5.93348,1.73624,0.00113408,0.00113408,0.00113408
94,20371.9,3.24057,5.02159,5.2967,1.4888,0.54885,0.4253,0.43755,0.16654,0.53537,0.38538,0.39143,0.13547,3.62288,5.77071,6.00046,1.75293,0.00111864,0.00111864,0.00111864
95,20585.8,3.22949,4.99019,5.31851,1.49032,0.5518,0.42339,0.43704,0.16527,0.53516,0.38055,0.38753,0.13449,3.62291,5.81916,6.04722,1.75812,0.00110317,0.00110317,0.00110317
